SR_WL	O2	O3	O4	O5	O6	O7	O8	O9	O10	O11	O12	O16	O17	O18	O21	S5	S6
700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
701	0	0	0	0	0	0	0	0	0	3.6E-05	0	0	0	0	0	0	0
702	0	0	0	0	0	0	0	0	0	0.002143	0	0	0	0	0	0	0
703	0	0	0	0	0	0	0	0	0	0.063036	0	0	0	0	0	0	0
704	0	0	0	0	0	0	0	0	0	0.420357	0	0	0	0	0	0	0
705	0	0	0	0	0	0	0	0	0	0.898149	0	0	0	0	0	0	0
706	0	0	0	0	0	0	0	0	0	0.99301	0	0	0	0	0	0	0
707	0	0	0	0	0	0	0	0	0	0.99692	0	0	0	0	0	0	0
708	0	0	0	0	0	0	0	0	0	0.996285	0	0	0	0	0	0	0
709	0	0	0	0	0	0	0	0	0	0.996636	0	0	0	0	0	0	0
710	0	0	0	0	0	0	0	0	0	0.998162	0	0	0	0	0	0	0
711	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
712	0	0	0	0	0	0	0	0	0	0.997799	0	0	0	0	0	0	0
713	0	0	0	0	0	0	0	0	0	0.939716	0	0	0	0	0	0	0
714	0	0	0	0	0	0	0	0	0	0.589818	0	0	0	0	0	0	0
715	0	0	0	0	0	0	0	0	0	0.102075	0	0	0	0	0	0	0
716	0	0	0	0	0	0	0	0	0	0.00433	0	0	0	0	0	0	0
717	0	0	0	0	0	0	0	0	0	8.7E-05	0	0	0	0	0	0	0
718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
747	0	0	0	0	0	0	0	0	0	0	5E-06	0	0	0	0	0	0
748	0	0	0	0	0	0	0	0	0	0	0.000575	0	0	0	0	0	0
749	0	0	0	0	0	0	0	0	0	0	0.021536	0	0	0	0	0	0
750	0	0	0	0	0	0	0	0	0	0	0.252134	0	0	0	0	0	0
751	0	0	0	0	0	0	0	0	0	0	0.818753	0	0	0	0	0	0
752	0	0	0	0	0	0	0	0	0	0	0.988581	0	0	0	0	0	0
753	0	0	0	0	0	0	0	0	0	0	0.999263	0	0	0	0	0	0
754	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
755	0	0	0	0	0	0	0	0	0	0	0.999163	0	0	0	0	0	0
756	0	0	0	0	0	0	0	0	0	0	0.993502	0	0	0	0	0	0
757	0	0	0	0	0	0	0	0	0	0	0.91093	0	0	0	0	0	0
758	0	0	0	0	0	0	0	0	0	0	0.474076	0	0	0	0	0	0
759	0	0	0	0	0	0	0	0	0	0	0.069755	0	0	0	0	0	0
760	0	0	0	0	0	0	0	0	0	0	0.002138	0	0	0	0	0	0
761	0	0	0	0	0	0	0	0	0	0	2.8E-05	0	0	0	0	0	0
762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
